NOTE: Some of these tickers may no longer be supported

ticker	Name	Exchange	type
EUR-COP.F	EUR-COP.F		CURRENCY_PAIR
AUDTTD=X	AUD/TTD	CCY	CURRENCY_PAIR
AUDANG=X	AUD/ANG	CCY	CURRENCY_PAIR
AUDFJD=X	AUD/FJD	CCY	CURRENCY_PAIR
AEDPKR=X	AED/PKR	CCY	CURRENCY_PAIR
AUDEGP=X	AUD/EGP	CCY	CURRENCY_PAIR
ALLUSD=X	ALL/USD	CCY	CURRENCY_PAIR
AUDHKD=X	AUD/HKD	CCY	CURRENCY_PAIR
AUDKYD=X	AUD/KYD	CCY	CURRENCY_PAIR
AEDTRY=X	AED/TRY	CCY	CURRENCY_PAIR
AUDAV.SW			CURRENCY_PAIR
AEDTHB=X	AED/THB	CCY	CURRENCY_PAIR
AEDRUB=X	AED/RUB	CCY	CURRENCY_PAIR
AUDBHD=X	AUD/BHD	CCY	CURRENCY_PAIR
AEDPLN=X	AED/PLN	CCY	CURRENCY_PAIR
EURKES=X	EUR/KES	CCY	CURRENCY_PAIR
AEDGBP=X	AED/GBP	CCY	CURRENCY_PAIR
HU22.EX			CURRENCY_PAIR
AUDDOP=X	AUD/DOP	CCY	CURRENCY_PAIR
HU52.EX			CURRENCY_PAIR
HF32.EX			CURRENCY_PAIR
AUDSGD=X	AUD/SGD	CCY	CURRENCY_PAIR
EURBZD=X	EUR/BZD	CCY	CURRENCY_PAIR
EUR-HRK.F	EUR/HRK	FRA	CURRENCY_PAIR
EUR-LBP.F	EUR-LBP.F		CURRENCY_PAIR
AUDUYU=X	AUD/UYU	CCY	CURRENCY_PAIR
AUDMUR=X	AUD/MUR	CCY	CURRENCY_PAIR
AUHOE.SW			CURRENCY_PAIR
EUR-KES.F	EUR-KES.F		CURRENCY_PAIR
AEDILS=X	AED/ILS	CCY	CURRENCY_PAIR
EURKZT=X	EUR/KZT	CCY	CURRENCY_PAIR
AUDERN=X	AUD/ERN	CCY	CURRENCY_PAIR
IACWE.NX			CURRENCY_PAIR
EURTRY=X	EUR/TRY	CCY	CURRENCY_PAIR
AUDLTL=X	AUD/LTL	CCY	CURRENCY_PAIR
ARSUYU=X	ARS/UYU	CCY	CURRENCY_PAIR
C3AR.EX			CURRENCY_PAIR
EURCOP=X	EUR/COP	CCY	CURRENCY_PAIR
AOAUSD=X	AOA/USD	CCY	CURRENCY_PAIR
AFNCHF=X	AFN/CHF	CCY	CURRENCY_PAIR
AUDCNH=X	AUD/CNH	CCY	CURRENCY_PAIR
ARSPEN=X	ARS/PEN	CCY	CURRENCY_PAIR
EUR-BMD.F	EUR-BMD.F		CURRENCY_PAIR
11150067.DE			CURRENCY_PAIR
ARSCHF=X	ARS/CHF	CCY	CURRENCY_PAIR
AZN=X	USD/AZN	CCY	CURRENCY_PAIR
AUDAED=X	AUD/AED	CCY	CURRENCY_PAIR
AUDMYR=X	AUD/MYR	CCY	CURRENCY_PAIR
AUDNOK=X	AUD/NOK	CCY	CURRENCY_PAIR
29134330=X			CURRENCY_PAIR
EURBWP=X	EUR/BWP	CCY	CURRENCY_PAIR
AUDBZD=X	AUD/BZD	CCY	CURRENCY_PAIR
ARSBRL=X	ARS/BRL	CCY	CURRENCY_PAIR
ANGGBP=X	ANG/GBP	CCY	CURRENCY_PAIR
EUR-BOB.F	EUR-BOB.F		CURRENCY_PAIR
EUR-UYU.F	EUR-UYU.F	FRA	CURRENCY_PAIR
AUDSAR=X	AUD/SAR	CCY	CURRENCY_PAIR
AZNGBP=X	AZN/GBP	CCY	CURRENCY_PAIR
AUDLKR=X	AUD/LKR	CCY	CURRENCY_PAIR
AEDLKR=X	AED/LKR	CCY	CURRENCY_PAIR
AEDHUF=X	AED/HUF	CCY	CURRENCY_PAIR
AUDGTQ=X	AUD/GTQ	CCY	CURRENCY_PAIR
AEDEUR=X	AED/EUR	CCY	CURRENCY_PAIR
AUDXDR=X	AUD/XDR	CCY	CURRENCY_PAIR
AEDJPY=X	AED/JPY	CCY	CURRENCY_PAIR
AEDINR=X	AED/INR	CCY	CURRENCY_PAIR
AUDHUF=X	AUD/HUF	CCY	CURRENCY_PAIR
AMD=X	USD/AMD	CCY	CURRENCY_PAIR
AUDRSD=X	AUD/RSD	CCY	CURRENCY_PAIR
AEDMUR=X	AED/MUR	CCY	CURRENCY_PAIR
AUDPYG=X	AUD/PYG	CCY	CURRENCY_PAIR
ARSAUD=X	ARS/AUD	CCY	CURRENCY_PAIR
ARSJPY=X	ARS/JPY	CCY	CURRENCY_PAIR
AOAGBP=X	AOA/GBP	CCY	CURRENCY_PAIR
AUDHRK=X	AUD/HRK	CCY	CURRENCY_PAIR
CNY=X	USD/CNY	CCY	CURRENCY_PAIR
AUDXPF=X	AUD/XPF	CCY	CURRENCY_PAIR
29134331=X			CURRENCY_PAIR
ARSBOB=X	ARS/BOB	CCY	CURRENCY_PAIR
EURBMD=X	EUR/BMD	CCY	CURRENCY_PAIR
AWGCHF=X	AWG/CHF	CCY	CURRENCY_PAIR
ANGSRD=X	ANG/SRD	CCY	CURRENCY_PAIR
ARSCAD=X	ARS/CAD	CCY	CURRENCY_PAIR
ARS=X	USD/ARS	CCY	CURRENCY_PAIR
AUDPHP=X	AUD/PHP	CCY	CURRENCY_PAIR
ANG=X	USD/ANG	CCY	CURRENCY_PAIR
AEDZAR=X	AED/ZAR	CCY	CURRENCY_PAIR
ARSEUR=X	ARS/EUR	CCY	CURRENCY_PAIR
IACWE.PA	SPDR ACWE INAV	PAR	CURRENCY_PAIR
AED=X	USD/AED	CCY	CURRENCY_PAIR
AUDJOD=X	AUD/JOD	CCY	CURRENCY_PAIR
EUR-BZD.F	EUR-BZD.F		CURRENCY_PAIR
AUKOT.SW	AUKOT.SW	EBS	CURRENCY_PAIR
AEDEGP=X	UAE Dirham (b) vs Egyptian Poun	CCY	CURRENCY_PAIR
AUDTJS=X	AUD/TJS	CCY	CURRENCY_PAIR
EUR-ZMK.F	EUR-ZMK.F		CURRENCY_PAIR
AWGEUR=X	AWG/EUR	CCY	CURRENCY_PAIR
ANGCAD=X	ANG/CAD	CCY	CURRENCY_PAIR
AUDPKR=X	AUD/PKR	CCY	CURRENCY_PAIR
AEDJOD=X	AED/JOD	CCY	CURRENCY_PAIR
ARSTHB=X	ARS/THB	CCY	CURRENCY_PAIR
EURHRK=X	EUR/HRK	CCY	CURRENCY_PAIR
EURLBP=X	EUR/LBP	CCY	CURRENCY_PAIR
ARSDKK=X	ARS/DKK	CCY	CURRENCY_PAIR
AWGGBP=X	AWG/GBP	CCY	CURRENCY_PAIR
AUDTHB=X	AUD/THB	CCY	CURRENCY_PAIR
AUDBOB=X	AUD/BOB	CCY	CURRENCY_PAIR
EUR-XAF.F	EUR-XAF.F		CURRENCY_PAIR
AFNUSD=X	AFN/USD	CCY	CURRENCY_PAIR
AUDJMD=X	AUD/JMD	CCY	CURRENCY_PAIR
AEDSAR=X	AED/SAR	CCY	CURRENCY_PAIR
AUDKWD=X	AUD/KWD	CCY	CURRENCY_PAIR
AOA=X	USD/AOA	CCY	CURRENCY_PAIR
AUDISK=X	AUD/ISK	CCY	CURRENCY_PAIR
985840=X			CURRENCY_PAIR
EURMUR=X	EUR/MUR	CCY	CURRENCY_PAIR
AUDDKK=X	AUD/DKK	CCY	CURRENCY_PAIR
AUGLE.SW	AUGLE.SW	EBS	CURRENCY_PAIR
AUDKES=X	AUD/KES	CCY	CURRENCY_PAIR
AEDDKK=X	AED/DKK	CCY	CURRENCY_PAIR
ARSSGD=X	ARS/SGD	CCY	CURRENCY_PAIR
EUR-JOD.F	EUR-JOD.F		CURRENCY_PAIR
AEDIDR=X	AED/IDR	CCY	CURRENCY_PAIR
AUDTMT=X	AUD/TMT	CCY	CURRENCY_PAIR
AUDUGX=X	AUD/UGX	CCY	CURRENCY_PAIR
AUDBRL=X	AUD/BRL	CCY	CURRENCY_PAIR
AOACHF=X	AOA/CHF	CCY	CURRENCY_PAIR
AUDARS=X	AUD/ARS	CCY	CURRENCY_PAIR
XF000EURPEN5.SG			CURRENCY_PAIR
AUDAWG=X	AUD/AWG	CCY	CURRENCY_PAIR
AUDCNY=X	AUD/CNY	CCY	CURRENCY_PAIR
AWGUSD=X	AWG/USD	CCY	CURRENCY_PAIR
EURBOB=X	EUR/BOB	CCY	CURRENCY_PAIR
HF42.EX			CURRENCY_PAIR
AUDZAR=X	AUD/ZAR	CCY	CURRENCY_PAIR
AEDCHF=X	AED/CHF	CCY	CURRENCY_PAIR
AUDPEN=X	AUD/PEN	CCY	CURRENCY_PAIR
AEDIQD=X	AED/IQD	CCY	CURRENCY_PAIR
AUDBAM=X	AUD/BAM	CCY	CURRENCY_PAIR
AOAEUR=X	AOA/EUR	CCY	CURRENCY_PAIR
ANGUSD=X	ANG/USD	CCY	CURRENCY_PAIR
AZNEUR=X	AZN/EUR	CCY	CURRENCY_PAIR
AUDBBD=X	AUD/BBD	CCY	CURRENCY_PAIR
AUDSVC=X	AUD/SVC	CCY	CURRENCY_PAIR
AUDCOP=X	AUD/COP	CCY	CURRENCY_PAIR
ALL=X	USD/ALL	CCY	CURRENCY_PAIR
AFNEUR=X	AFN/EUR	CCY	CURRENCY_PAIR
ALLCHF=X	ALL/CHF	CCY	CURRENCY_PAIR
AUDBSD=X	AUD/BSD	CCY	CURRENCY_PAIR
AUDTRY=X	AUD/TRY	CCY	CURRENCY_PAIR
AUDSEK=X	AUD/SEK	CCY	CURRENCY_PAIR
BTCUSD=X	Bitcoin USD	CCY	CURRENCY_PAIR
BWPMAD=X	BWP/MAD	CCY	CURRENCY_PAIR
BWPKYD=X	BWP/KYD	CCY	CURRENCY_PAIR
BWPISK=X	BWP/ISK	CCY	CURRENCY_PAIR
BWPINR=X	BWP/INR	CCY	CURRENCY_PAIR
BWPIDR=X	BWP/IDR	CCY	CURRENCY_PAIR
BWPFJD=X	BWP/FJD	CCY	CURRENCY_PAIR
BWPEUR=X	BWP/EUR	CCY	CURRENCY_PAIR
BWPBDT=X	BWP/BDT	CCY	CURRENCY_PAIR
BRLINR=X	BRL/INR	CCY	CURRENCY_PAIR
BOBVEF=X	BOB/VEF	CCY	CURRENCY_PAIR
BOBUSD=X	BOB/USD	CCY	CURRENCY_PAIR
BOBPEN=X	BOB/PEN	CCY	CURRENCY_PAIR
BOBCOP=X	BOB/COP	CCY	CURRENCY_PAIR
BOBCHF=X	BOB/CHF	CCY	CURRENCY_PAIR
BMDUSD=X	BMD/USD	CCY	CURRENCY_PAIR
BMD=X	USD/BMD	CCY	CURRENCY_PAIR
BHDOMR=X	BHD/OMR	CCY	CURRENCY_PAIR
BHDJPY=X	BHD/JPY	CCY	CURRENCY_PAIR
BHDEUR=X	BHD/EUR	CCY	CURRENCY_PAIR
BHDCHF=X	BHD/CHF	CCY	CURRENCY_PAIR
BHDAED=X	BHD/AED	CCY	CURRENCY_PAIR
BBDDKK=X	BBD/DKK	CCY	CURRENCY_PAIR
BWPNGN=X	BWP/NGN	CCY	CURRENCY_PAIR
BWPTOP=X	BWP/TOP	CCY	CURRENCY_PAIR
