NOTE: Some of these tickers may no longer be supported

ticker	name	exchange	type
^CSCSY	NASDAQ OMX Alpha CSCO vs. SPY	NIM	INDEX
^AXPJ	S&P/ASX 200 A-REIT	ASX	INDEX
^AXHJ	S&P/ASX 200 Health Care	ASX	INDEX
^AXGD	S&P/ASX All Ords Gold	ASX	INDEX
^AXGAL	NYSE ARCA GLOBAL AIR LINE INDEX	NYS	INDEX
^AXFJ	S&P/ASX 200 Financials	ASX	INDEX
^AMZ	ALERIAN MLP INDEX	NYS	INDEX
TMPS	"Tempus Applied Solutions Holdings, Inc."	PNK	INDEX
SXAPD.Z			INDEX
SDR15Y.SW	SBI Dom AAA-BBB 15+ Y	EBS	INDEX
SA1AMVR.Z			INDEX
PAX.PA	CAC ALL SHARES	PAR	INDEX
INAX.DE	INAV IS.STX EUR 600 (DE)	GER	INDEX
IM25.BA	MERVAL 25 ARGENTINA	BUE	INDEX
HTXHUF.VI			INDEX
G7X4.DE	DAX+RISKTRIGRUS+ PF	GER	INDEX
D8AG.DE			INDEX
D1BM.DE	DAXPLUS FAMILY KURSINDEX	GER	INDEX
ASX1770.L			INDEX
ALL.PS	PHP INDEX ALL-SHARE	PHS	INDEX
AAX.NX			INDEX
5FUA.DE	INAVISHSTCBDEXFIUCH	GER	INDEX
3BMO.DE	INAVISHS&P500EU	GER	INDEX
SAA6UNR.Z			INDEX
^NQLA1300JPYN	NASDAQ Lat America Chemicals JP	NIM	INDEX
SXSHIPTA.SG			INDEX
WIAMERS1730.FGI			INDEX
DH6W.DE	INAV DB X-T. TR CHF	GER	INDEX
D8TW.DE	IN.IS.PHYS.SILVER ETC JPY	GER	INDEX
^NQUSB5752LMAUDT	NQ US Gambling Large Mid Cap A	NIM	INDEX
^NQASIA6000LMJPYT	NASDAQ Asia Telecom Large Mid C	NIM	INDEX
^NQDMASIA1700JPYN	NASDAQ DM Asia Basic Resources	NIM	INDEX
V2J3.DE			INDEX
4N6Z.DE	DAXSUB ALL RETI K	GER	INDEX
^NQUSB0587CADN	NQ US Bnchmk Alternative Fuels	NIM	INDEX
^NQUSM9000AUDT	NQ US Md Cap Tech AUD TR Index	NIM	INDEX
^NQUSB5373AUDN	NQ US Bnchmk Broadline Rtlrs AU	NIM	INDEX
S63Y.SW	SBI Sec CB Mixed Assets Y	EBS	INDEX
^NQUSS8771GBP	NQ US Sm Cap Asset Managers GBP	NIM	INDEX
^NQNAMCCADN	NASDAQ N America Mid Cap CAD NT	NIM	INDEX
^NQDM7000AUD	NASDAQ Developed Utilities AUD	NIM	INDEX
^NQG6000AUDN	NASDAQ Global Telecom AUD NTR I	NIM	INDEX
^NQEMMEA2000AUDT	NASDAQ EM MEA Inds AUD TR Index	NIM	INDEX
^NQASPA3500LMT	NASDAQ ASPA Food & Beverage Lg	NIM	INDEX
^NQEMASIA9000EUR	NASDAQ EM Asia Tech EUR Index	NIM	INDEX
^NQDMASIA6000LM	NASDAQ DM Asia Telecom Large Mi	NIM	INDEX
^NQLA7000GBPN	NASDAQ Lat America Utilities GB	NIM	INDEX
31651175.SG			INDEX
^NQASIA4000	The NASDAQ Asia Health Care Ind	NIM	INDEX
^NQAU7000GBP	NASDAQ Australia Utilities GBP	NIM	INDEX
4Q5W.DE	INAV DE.ESTX SE.DIV.30 EO	GER	INDEX
^SPAENAUP	S&P Agribusiness North America	SNP	INDEX
SBFR2T.SW	SBI For AA T	EBS	INDEX
^NQDMASPA5500GBPN	NASDAQ DM ASPA Media GBP NTR In	NIM	INDEX
^NQDMXNASCAUDT	NASDAQ Developed ex North Ameri	NIM	INDEX
WIAMERS1000.FGI			INDEX
^NQLA5000LM	NASDAQ Lat America Cnsmr Svcs L	NIM	INDEX
ST13Y.SW	SBI AAA-BBB 1-3 Y	EBS	INDEX
^NQDMASPA4000JPY	NASDAQ DM ASPA Health Care JPY	NIM	INDEX
^NQG2300AUDT	NASDAQ Global Constr & Matls AU	NIM	INDEX
SG71P.SW	SBI Dom Gov 7-10 P	EBS	INDEX
^NQDMXUS2000AUDN	NASDAQ DM Ex US Industrials AUD	NIM	INDEX
^NQLALMCADN	NASDAQ Lat America Large Mid Ca	NIM	INDEX
^NQDMEU3300LMEUR	NASDAQ DM Europe Auto & Parts L	NIM	INDEX
^NQG3300AUDN	NASDAQ Global Auto & Parts AUD	NIM	INDEX
^NQEMMEA8500AUD	NASDAQ EM MEA Ins AUD Index	NIM	INDEX
AEXSH.NX			INDEX
^NQNA8300JPYT	NASDAQ N America Banks JPY TR I	NIM	INDEX
^NQLALCCADT	NASDAQ Lat America Large Cap CA	NIM	INDEX
4MW2.DE	INAVISHSTXEU50UJPY	GER	INDEX
^NQNA8500T	The NASDAQ North America Insura	NIM	INDEX
^SP500-25102010	S&P 500 Automobile Manufacturer	SNP	INDEX
SFR15Y.SW	SBI For AAA-BBB 15+ Y	EBS	INDEX
^NQLA8300LMGBP	NASDAQ Lat America Banks Lg Md	NIM	INDEX
WIAMERS2710.L			INDEX
^NQTW0001AUDT	NASDAQ Taiwan Oil & Gas AUD TR	NIM	INDEX
NZREG.NZ	S&P/NZX ALL REAL ESTATE (INDUST	NZE	INDEX
LZPL.DE	INAV DB X-T D600 HC	GER	INDEX
^NQMEA8500LMAUDN	NASDAQ MEA Ins Large Mid Cap AU	NIM	INDEX
^NQNA3000LMT	NASDAQ N America Cnsmr Goods Lg	NIM	INDEX
23576012.SG			INDEX
^DWMFCGT	^DWMFCGT	DJI	INDEX
^NQLA3500CADN	NASDAQ Lat America Food & Bever	NIM	INDEX
^NQUSM2737AUDN	NQ US Md Cap Elec Eqpt AUD NTR	NIM	INDEX
537A.DE			INDEX
AW12.FGI	FTSE All World Index - Europe e	FGI	INDEX
^NQASPA1300T	The NASDAQ ASPA Chemicals Index	NIM	INDEX
^NQDMASPA3000EURN	NASDAQ DM ASPA Cnsmr Goods EUR	NIM	INDEX
DK71.DE	IN.IS.MSCI JAP.CHF HD.YN	GER	INDEX
SFA05D.SW	SBI For AAA-A 10-15 D	EBS	INDEX
^NQAUSCAUDT	NASDAQ Australia Small Cap AUD	NIM	INDEX
26773612.SG			INDEX
^BKCSW	BNY Mellon Sweden Classic ADR I	SNP	INDEX
^NQMY1000AUDN	NASDAQ Malaysia Basic Matls AUD	NIM	INDEX
^NQASIA0001LMAUDN	NASDAQ Asia Oil & Gas Large Mid	NIM	INDEX
5EDJ.DE	IN.IS.MSCI POLAND USD	GER	INDEX
^BKFRT	BNY Mellon France ADR Total Ret	SNP	INDEX
^NQHUAUDN	NASDAQ Hungary AUD NTR Index	NIM	INDEX
^NQLA8600LMCADN	NASDAQ Lat Am Real Estate Lg Md	NIM	INDEX
^NQEMASIASCEURT	NASDAQ EM Asia Small Cap EUR TR	NIM	INDEX
^NQHK5000AUD	NASDAQ Hong Kong Cnsmr Svcs AUD	NIM	INDEX
SXW9.Z			INDEX
^NQDMASPASCAUDN	NASDAQ DM ASPA Small Cap AUD NT	NIM	INDEX
^NQUSB8530AUDT	NQ US Bnchmk Nonlife Ins AUD TR	NIM	INDEX
^NQASPAXJPJPYN	NASDAQ ASPA Ex Japan JPY NTR In	NIM	INDEX
N8WZ.DE	DAXGLOBAL ASIA PR.GBP	GER	INDEX
4MU3.DE	INAVISEUCORBDLCUCHF	GER	INDEX
^NQASPA5300LMJPYN	NASDAQ ASPA Retail Large Mid Ca	NIM	INDEX
^INDIA15	India Total Return ADR/GDR 15 I	SNP	INDEX
INUS7.NX			INDEX
D4OF.DE	INAVISHEUGBD1-3YRGB	GER	INDEX
^NQAU5000CADT	NASDAQ Australia Cnsmr Svcs CAD	NIM	INDEX
V1I5.DE			INDEX
RTXNRGEUR.VI			INDEX
^NQIN8000AUDT	NASDAQ India Financials AUD TR	NIM	INDEX
^BCOMAL3	BBG Alumin-F3	WCB	INDEX
SAN71Y.SW	SBI Dom Non-Gov AAA-AA 7-10 Y	EBS	INDEX
STA05P.SW	SBI AAA-A 10-15 P	EBS	INDEX
DV2E.DE			INDEX
^A1SUSETR	Dow Jones Sustainability North	DJI	INDEX
^NQAU9000N	The NASDAQ Australia Technology	NIM	INDEX
^NQNA2300N	The NASDAQ North America Constr	NIM	INDEX
^NQEMMEA4000AUDN	NASDAQ EM MEA Health Care AUD N	NIM	INDEX
^NQASPA3000AUDT	NASDAQ ASPA Cnsmr Goods AUD TR	NIM	INDEX
^NQZASCZARN	NASDAQ South Africa Small Cap Z	NIM	INDEX
^NQDMASPA7000N	The NASDAQ DM ASPA Utilities In	NIM	INDEX
SAA10Y.SW	SBI AAA-AA 10+ Y	EBS	INDEX
^NQUSM2000AUD	NQ US Md Cap Inds AUD Index	NIM	INDEX
SBIGD7.SW	SBI Dom Gov 7+ D	EBS	INDEX
^NQNA8000EURN	NASDAQ N America Financials EUR	NIM	INDEX
^NQDMASIA8600LMT	NASDAQ DM Asia Real Estate Larg	NIM	INDEX
SBIGT1.SW	SBI Dom Gov 1-3 T	EBS	INDEX
^NQHK3000AUDN	NASDAQ Hong Kong Cnsmr Goods AU	NIM	INDEX
D8AF.DE			INDEX
2742.DE	INAVISIBSE18USDCGBP	GER	INDEX
^BKCPTTR	BNY Mellon Portugal Classic ADR	SNP	INDEX
UDYQ.DE	UDYQ.DE	GER	INDEX
4NAN.DE	DAXSUP ALL UTIL P	GER	INDEX
^NQCHLCAUD	NASDAQ Switzerland Large Cap AU	NIM	INDEX
^DWAPFN	Dow Jones Asia/Pacific Financia	DJI	INDEX
ASX8350.L			INDEX
